030011,17.3,10.4,14.8,17.4,20.4,18.8
030012,14.9,12.6,11.8,16.0,22.6,17.6
030013,11.7,12.8,16.7,15.9,21.1,19.5
030014,15.7,11.5,11,17.2,22.3,17.3
030016,14.4,12.3,14,18.6,24.2,19.5
030022,None,,,None,None,17.6
030023,12.5,13.2,9.3,17.6,22.2,15.3
030024,16.6,11.6,12.1,18.0,22.9,17.3
030030,15.2,11,15.3,18.1,24.1,18.2
030033,None,11.5,13,None,21.8,16.6
030036,15.2,12.1,11.5,18.7,21.2,19.4
030037,14.7,11.2,13.6,18.7,22.6,16.9
030038,15.0,9.3,11.8,16.0,23.0,17.2
030043,16.8,11.8,10.9,17.5,25.2,18.3
030055,16.4,9.9,12.9,16.0,22.0,18.0
030061,15.2,12.2,10.9,18.8,19.7,15.7
030062,14.4,12.2,12,18.0,21.1,16.1
030064,12.8,10.9,10.6,20.0,24.5,17.2
030065,14.6,10.3,10.3,19.0,24.9,19.7
030067,15.2,12,10.3,18.9,21.5,19.4
030068,None,15.5,11.5,None,23.2,17.6
030069,18.4,12.8,15.4,18.1,22.1,17.1
030071,None,,10,None,23.1,17.4
030073,None,11.4,10.2,None,24.2,17.1
030074,None,,,None,None,None
030077,None,,,None,None,None
030078,None,,10.7,None,None,17.4
030083,15.3,12.4,13.6,17.7,24.1,17.4
030084,None,10.7,10.7,None,25.0,17.3
030085,17.7,13.1,13.7,18.9,19.8,16.8
030087,14.0,8.8,10.5,15.8,22.9,17.8
030088,16.6,13.1,10.1,18.3,27.5,17.8
030089,16.1,9,8,20.4,24.5,20.0
030092,13.4,11.2,10,17.9,23.2,15.7
030093,13.4,12.9,12.1,18.3,22.3,18.6
030094,15.0,11.7,12,17.4,22.5,17.9
030101,15.8,11.8,12.3,17.8,25.4,19.7
030103,12.7,10.2,7.9,17.9,22.8,17.1
030105,14.4,9.8,13.9,18.9,22.9,18.7
030107,None,,,None,None,None
030108,None,,,None,None,None
030110,16.4,13,11.8,18.9,22.3,17.0
030111,16.3,11.9,11.5,17.4,22.9,17.6
030112,None,,,None,None,None
030113,None,,10.4,None,None,15.9
030114,15.1,11.6,9.8,17.2,23.2,18.4
030115,15.0,10.9,10.2,20.3,23.7,18.6
030117,15.0,11.8,12.4,17.3,23.2,18.9
030118,16.8,10,14.4,None,21.3,17.1
030119,14.4,9.5,10.3,17.3,22.5,14.6
030120,None,10.7,9.4,None,23.9,17.5
030121,15.8,12.4,9.8,18.3,24.9,18.9
030122,14.5,12.2,9.3,None,23.7,16.9
030123,14.6,12.7,10.4,None,21.4,17.4
03012F,14.1,10.6,12.2,20.7,24.4,17.4
030130,None,,10.7,None,None,17.9
030131,None,,,None,None,None
030132,None,,,None,None,None
03013F,14.3,15.7,13.2,20.5,26.0,18.3
03033F,None,10.9,12.4,None,26.2,18.2
031300,None,10.3,9.9,None,22.2,17.6
031301,None,,10.4,None,21.6,16.5
031302,None,12.4,10.5,None,22.1,16.9
031303,None,,10,None,None,17.3
031304,None,,,None,None,None
031305,None,,11,None,None,16.8
031309,None,,10.3,None,None,17.8
031311,None,,11.1,None,22.8,16.0
031312,None,,12.1,None,None,17.0
031313,None,,,None,None,None
031314,13.9,10.7,8.5,18.1,21.1,16.9
031315,None,,10.6,None,23.3,17.0
033302,None,,,None,None,None
040001,None,12.9,13.3,None,25.0,19.2
040002,17.8,11.8,14.7,18.3,22.4,20.0
040004,15.7,13.3,14.1,16.7,21.9,16.1
040007,15.7,13.4,14,17.8,24.3,17.3
040010,14.5,13.9,13.5,19.6,20.3,18.3
040011,16.7,9.4,9.5,19.5,26.6,21.9
040014,16.3,14.3,11.9,18.3,25.5,21.9
040015,None,13.9,11.5,None,22.1,16.6
040016,14.5,11.8,12.1,20.3,24.5,19.2
040017,18.4,10.6,11.1,19.6,24.3,17.8
040018,None,13.9,11.9,None,23.6,20.0
040019,None,12,15.2,None,24.3,18.3
040020,16.7,15.7,12,18.5,21.4,16.0
040022,18.0,12.9,14,18.8,24.0,18.4
040026,15.8,14.2,11.5,16.6,22.6,16.0
040027,17.5,15.4,15.9,22.0,24.8,21.8
040029,18.4,17.5,15.8,17.5,21.2,18.5
040036,13.4,14.3,10.9,17.9,26.2,19.2
040039,16.1,15.9,12.5,20.1,26.7,18.1
040041,20.6,15.8,15,19.1,24.4,15.9
040042,14.0,12,12.7,None,22.8,19.6
040047,None,12.9,11.9,None,25.5,19.6
040050,None,13.2,13.6,None,22.7,16.5
040051,None,12.7,13.1,None,22.0,18.6
040055,14.9,12.7,12,20.3,24.6,15.7
040062,14.5,13,12.4,15.9,22.6,14.9
040067,None,14,12.8,None,26.7,16.5
040069,None,13,12.8,None,24.5,22.0
040071,16.8,12.2,10.5,18.3,25.9,18.2
040072,16.8,10,14.2,None,25.5,17.0
040074,None,9.8,14.1,None,24.8,18.0
040076,None,14.4,12.4,None,25.6,19.1
040078,19.9,14.7,14.6,19.5,25.6,18.6
040080,None,12.8,13,None,25.3,19.9
040084,15.4,15.1,12.6,17.8,23.9,18.9
040085,None,11.5,16.9,None,25.4,18.0
040088,19.0,14.2,12,17.6,25.7,16.3
04009F,15.4,10.7,14.4,None,23.7,16.8
04010F,14.2,9.7,10.9,19.6,25.7,20.6
040114,14.7,11.6,12.2,18.9,21.8,18.8
040118,14.3,15.8,11.9,18.1,25.8,15.9
040119,16.2,14,13.1,20.0,24.6,19.4
040132,None,,,None,None,None
040134,11.9,14,10,19.2,24.8,17.1
040137,None,11.8,9.7,None,23.8,16.2
040147,None,,,None,None,None
040152,None,,,None,None,None
040153,None,,,None,None,None
041300,None,14.5,12,None,22.4,17.2
041302,None,,17.7,None,23.5,16.8
041303,None,,13.5,None,22.0,17.3
041304,None,,14.8,None,23.7,16.7
041305,None,11,14.5,None,21.1,16.0
041306,None,14.6,11.7,None,24.6,17.9
041307,None,11.6,11.8,None,25.0,18.7
041308,None,12.4,18.1,None,22.9,17.4
041309,None,11.1,14.5,None,23.1,18.1
041310,14.9,10.8,10.5,18.3,23.9,19.4
041311,None,11.9,17.1,None,23.8,17.1
041312,None,11.2,12.6,None,23.9,16.1
041313,None,11.5,15.2,None,21.8,16.7
041314,None,11.3,14.3,None,25.7,17.6
041316,None,11.9,12.3,None,22.9,18.2
041317,None,12.4,18.3,None,22.1,17.3
041318,None,13.6,10.8,None,25.0,17.5
041319,None,13.7,12.5,None,24.3,19.4
041320,None,11.3,12.8,None,24.8,17.5
041321,None,10.8,12.6,None,23.2,16.8
041322,16.0,13.6,16.6,None,23.3,19.1
041323,None,13,12.6,None,23.2,16.8
041324,None,13.1,14.9,None,22.0,17.3
041326,None,14,11.2,None,24.0,17.5
041327,None,12.9,13.1,None,23.0,17.6
041328,None,15.7,14.2,None,27.9,18.3
041329,None,12.4,11.1,None,24.2,17.2
041330,None,12.1,10.8,None,22.3,17.7
041331,None,,11.4,None,24.7,19.8
043300,None,,,None,None,None
050002,16.4,10.8,8.7,19.4,25.3,18.4
050006,18.7,12.8,11.4,16.0,20.3,14.6
050007,14.2,13,9.9,17.4,22.3,18.1
050008,None,10.3,12.7,None,23.1,17.3
050009,18.1,10.9,11.1,17.5,21.0,15.8
050013,15.2,11,9.7,17.2,20.6,18.1
050014,15.9,15.2,11.4,None,21.8,15.7
050016,16.7,10.8,12.6,None,23.9,16.4
050017,16.0,11.6,15.2,17.9,21.2,17.4
050018,13.7,11,10.2,None,23.8,17.6
050022,13.7,11.1,11.3,18.8,24.9,18.5
050024,13.1,8.2,8.5,19.4,23.2,17.5
050025,12.1,9.6,8.2,17.9,24.8,20.3
050026,16.1,14.1,14.7,18.6,23.7,18.3
050028,None,13.2,14.6,None,22.9,16.1
050030,13.4,9.2,8,19.3,23.9,20.8
050036,18.1,12.2,11.8,19.2,24.3,17.4
050038,15.1,12.6,13,17.3,23.9,16.5
050039,13.6,12.5,10.5,18.4,24.3,19.2
050040,None,10.1,10.5,None,23.5,19.0
050042,15.3,11,9.8,18.2,19.0,15.7
050043,13.0,9.3,11.2,18.6,22.3,18.8
